WANG Hong Yang POSITION,WANG Hong Yang LAP TIME,WANG Hong Yang ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,LEE Seung-Jae POSITION,LEE Seung-Jae LAP TIME,LEE Seung-Jae ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME
1,6.32,6.32,2,6.75,6.75,4,6.90,6.90,3,6.82,6.82
1,8.87,15.19,2,8.98,15.73,3,8.87,15.77,4,9.08,15.90
1,8.63,23.82,2,8.50,24.23,3,8.60,24.37,4,8.60,24.50
1,8.88,32.70,2,8.61,32.84,3,8.63,33.00,4,8.77,33.27
3,9.23,41.930,1,8.91,41.751,2,8.93,41.925,4,8.76,42.024
