Ekaterina BARANOK POSITION,Ekaterina BARANOK LAP TIME,Ekaterina BARANOK ELAPSED TIME,Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME,Elisa LENKE POSITION,Elisa LENKE LAP TIME,Elisa LENKE ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME
3,14.95,14.95,2,14.89,14.89,1,14.73,14.73,4,14.99,14.99
1,10.56,25.51,3,10.87,25.76,2,10.89,25.62,4,10.87,25.86
1,10.66,36.17,4,10.53,36.29,2,10.65,36.27,3,10.41,36.27
2,10.18,46.35,1,9.94,46.23,4,10.25,46.52,3,10.13,46.40
3,10.09,56.44,2,10.11,56.34,4,10.13,56.65,1,9.74,56.14
3,9.87,1:06.31,2,9.84,1:06.18,4,10.07,1:06.72,1,9.86,1:06.00
3,10.19,1:16.50,2,10.21,1:16.39,4,10.31,1:17.03,1,10.27,1:16.27
3,10.57,1:27.07,2,10.55,1:26.94,4,10.47,1:27.50,1,10.54,1:26.81
2,10.68,1:37.750,3,10.84,1:37.779,4,10.89,1:38.383,1,10.85,1:37.658
