LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,KIM Jong Mi POSITION,KIM Jong Mi LAP TIME,KIM Jong Mi ELAPSED TIME
2,7.65,7.65,4,7.85,7.85,1,7.51,7.51,5,8.03,8.03,3,7.82,7.82
2,9.83,17.48,3,10.01,17.86,1,9.91,17.42,5,10.08,18.11,4,10.06,17.88
2,9.28,26.76,3,9.27,27.13,1,9.25,26.67,4,9.73,27.84,5,19.03,36.91
2,9.30,36.06,3,9.10,36.23,1,9.34,36.01,4,9.94,37.78,5,15.77,52.68
1,9.52,45.578,3,9.55,45.776,2,9.68,45.686,4,10.31,48.086,5,13.17,1:05.846
