Jumpei YOSHIZAWA POSITION,Jumpei YOSHIZAWA LAP TIME,Jumpei YOSHIZAWA ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Mathieu TURCOTTE POSITION,Mathieu TURCOTTE LAP TIME,Mathieu TURCOTTE ELAPSED TIME,Guillaume MATHIEU POSITION,Guillaume MATHIEU LAP TIME,Guillaume MATHIEU ELAPSED TIME
1,6.776,6.776,3,7.015,7.015,2,6.816,6.816,4,7.093,7.093
2,9.074,15.850,4,8.958,15.973,1,8.950,15.765,3,8.833,15.925
2,8.826,24.675,3,8.729,24.701,1,8.822,24.586,4,8.779,24.704
2,8.870,33.544,1,8.774,33.475,4,9.003,33.589,3,8.853,33.556
3,23.53,57.068,0,,DQ,1,9.14,42.720,2,9.27,42.819
