Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Tamas TUTRAI POSITION,Tamas TUTRAI LAP TIME,Tamas TUTRAI ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Andriy KOZHUKH POSITION,Andriy KOZHUKH LAP TIME,Andriy KOZHUKH ELAPSED TIME
1,13.420,13.420,4,14.400,14.400,5,16.800,16.800,2,13.790,13.790,3,14.140,14.140
1,10.660,24.080,3,9.810,24.220,4,7.460,24.270,5,10.480,24.280,2,9.980,24.120
4,9.860,33.950,5,10.020,34.240,2,9.470,33.740,3,9.610,33.890,1,9.430,33.560
1,9.160,43.120,5,9.130,43.380,2,9.530,43.270,4,9.390,43.290,3,9.720,43.280
1,9.200,52.320,5,9.930,53.310,4,9.970,53.240,3,9.770,53.060,2,9.760,53.050
1,9.820,1:02.150,3,10.040,1:03.350,2,9.320,1:02.570,5,10.570,1:03.640,4,10.560,1:03.610
1,9.270,1:11.420,2,8.610,1:11.960,4,10.260,1:12.830,5,9.310,1:12.950,3,9.100,1:12.710
1,9.810,1:21.240,2,9.640,1:21.610,4,10.220,1:23.050,3,8.780,1:21.740,5,11.120,1:23.840
1,9.270,1:30.510,2,9.670,1:31.280,4,10.080,1:33.140,3,9.740,1:31.480,5,11.660,1:35.500
