Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,Natallia TSAULIKA POSITION,Natallia TSAULIKA LAP TIME,Natallia TSAULIKA ELAPSED TIME
1,9.39,9.39,4,9.86,9.86,2,9.57,9.57,3,9.72,9.72,5,9.97,9.97,6,10.11,10.11
1,14.65,24.04,4,14.64,24.50,2,14.64,24.21,3,14.65,24.37,5,14.69,24.66,6,14.75,24.86
1,13.93,37.97,4,13.86,38.36,2,13.88,38.09,3,13.90,38.27,5,13.84,38.50,6,13.83,38.69
1,13.55,51.52,5,13.52,51.88,2,13.55,51.64,4,13.52,51.79,3,13.22,51.72,6,13.36,52.05
3,12.56,1:04.08,5,12.51,1:04.39,2,12.34,1:03.98,4,12.47,1:04.26,1,12.25,1:03.97,6,12.45,1:04.50
4,11.14,1:15.22,5,11.01,1:15.40,2,10.91,1:14.89,1,10.58,1:14.84,3,11.08,1:15.05,6,11.03,1:15.53
4,10.47,1:25.69,5,10.46,1:25.86,3,10.75,1:25.64,2,10.68,1:25.52,1,10.46,1:25.51,6,10.60,1:26.13
3,10.00,1:35.69,5,10.11,1:35.97,4,10.16,1:35.80,2,10.06,1:35.58,1,9.95,1:35.46,6,10.88,1:37.01
3,10.10,1:45.79,5,10.09,1:46.06,4,10.10,1:45.90,2,10.06,1:45.64,1,10.06,1:45.52,6,11.62,1:48.63
3,9.89,1:55.68,5,9.87,1:55.93,4,9.89,1:55.79,2,9.95,1:55.59,1,9.96,1:55.48,6,12.23,2:00.86
3,9.90,2:05.58,5,9.93,2:05.86,4,9.94,2:05.73,2,9.86,2:05.45,1,9.86,2:05.34,6,12.59,2:13.45
3,9.84,2:15.42,4,9.56,2:15.42,5,10.21,2:15.94,2,9.77,2:15.22,1,9.85,2:15.19,6,13.22,2:26.67
4,10.28,2:25.70,2,9.95,2:25.37,5,10.96,2:26.90,1,9.93,2:25.15,3,10.32,2:25.51,6,13.21,2:39.88
4,10.57,2:36.268,2,9.66,2:35.027,5,11.10,2:37.995,1,9.74,2:34.891,3,10.32,2:35.826,6,12.95,2:52.824
