Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,KIM Mi Hyang POSITION,KIM Mi Hyang LAP TIME,KIM Mi Hyang ELAPSED TIME
1,13.91,13.91,4,14.38,14.38,2,13.94,13.94,3,14.11,14.11
1,10.75,24.66,3,10.38,24.76,2,10.79,24.73,4,10.77,24.88
2,9.95,34.61,1,9.76,34.52,3,9.98,34.71,4,9.97,34.85
3,10.08,44.69,2,10.05,44.57,1,9.64,44.35,4,9.94,44.79
2,9.70,54.39,3,9.84,54.41,1,9.95,54.30,4,9.78,54.57
2,9.98,1:04.37,3,10.16,1:04.57,1,9.93,1:04.23,4,10.17,1:04.74
2,10.11,1:14.48,3,10.04,1:14.61,1,10.15,1:14.38,4,10.50,1:15.24
2,9.98,1:24.46,3,10.04,1:24.65,1,9.96,1:24.34,4,11.29,1:26.53
2,9.95,1:34.404,3,10.01,1:34.652,1,9.95,1:34.291,4,11.64,1:38.168
