Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME
1,12.84,12.84,2,12.89,12.89,4,13.12,13.12,3,12.98,12.98
1,10.26,23.10,3,10.31,23.20,4,10.11,23.23,2,10.20,23.18
3,9.78,32.88,2,9.62,32.82,1,9.45,32.68,4,9.71,32.89
4,9.36,42.24,1,9.20,42.02,2,9.42,42.10,3,9.26,42.15
4,9.49,51.73,1,9.53,51.55,3,9.55,51.65,2,9.47,51.62
2,8.87,1:00.60,4,9.21,1:00.76,1,8.91,1:00.56,3,9.00,1:00.62
1,8.84,1:09.44,4,9.11,1:09.87,3,9.13,1:09.69,2,9.02,1:09.64
1,9.14,1:18.58,4,9.03,1:18.90,3,9.18,1:18.87,2,9.07,1:18.71
1,9.48,1:28.052,4,9.35,1:28.245,3,9.24,1:28.109,2,9.35,1:28.059
