Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Volodymyr CHERNEGA POSITION,Volodymyr CHERNEGA LAP TIME,Volodymyr CHERNEGA ELAPSED TIME,LI Jiajun POSITION,LI Jiajun LAP TIME,LI Jiajun ELAPSED TIME,Yoshiharu ARINO POSITION,Yoshiharu ARINO LAP TIME,Yoshiharu ARINO ELAPSED TIME,Andreas TANNER POSITION,Andreas TANNER LAP TIME,Andreas TANNER ELAPSED TIME
1,8.630,8.630,5,8.889,8.889,6,8.946,8.946,3,8.681,8.681,4,8.747,8.747,2,8.646,8.646
2,12.181,20.810,6,12.378,21.266,5,12.319,21.265,4,12.228,20.909,1,11.889,20.635,3,12.222,20.868
1,10.982,31.792,6,10.923,32.189,5,10.867,32.132,3,11.020,31.928,4,11.296,31.931,2,11.055,31.922
2,10.920,42.712,5,10.960,43.148,6,11.061,43.192,3,11.012,42.940,4,11.079,43.009,1,10.624,42.546
2,11.112,53.823,5,10.837,53.985,6,10.860,54.051,4,10.951,53.891,3,10.821,53.830,1,11.102,53.648
2,10.799,1:04.622,5,10.928,1:04.913,6,10.886,1:04.937,1,10.375,1:04.266,4,10.903,1:04.732,3,11.030,1:04.677
1,10.015,1:14.636,4,10.308,1:15.220,6,10.386,1:15.322,2,10.606,1:14.871,3,10.195,1:14.926,5,10.562,1:15.239
1,10.319,1:24.955,4,9.856,1:25.076,5,9.859,1:25.181,3,10.118,1:24.989,2,10.035,1:24.961,6,10.111,1:25.350
1,10.002,1:34.956,4,10.256,1:35.332,5,10.233,1:35.413,3,10.142,1:35.130,2,10.100,1:35.061,6,10.436,1:35.785
1,9.641,1:44.597,3,9.445,1:44.776,5,9.810,1:45.222,4,9.683,1:44.813,2,9.569,1:44.629,6,10.239,1:46.024
1,9.279,1:53.875,4,9.398,1:54.174,5,10.157,1:55.379,3,9.206,1:54.019,2,9.342,1:53.971,6,10.356,1:56.379
3,9.614,2:03.488,2,9.139,2:03.313,5,10.340,2:05.718,1,9.157,2:03.176,4,10.214,2:04.184,6,10.386,2:06.765
4,9.454,2:12.942,3,9.402,2:12.714,5,10.755,2:16.472,2,9.302,2:12.477,1,8.229,2:12.412,6,10.512,2:17.276
4,9.36,2:22.302,3,9.58,2:22.292,5,11.27,2:27.739,1,9.65,2:22.122,2,9.80,2:22.206,6,10.97,2:28.238
