NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
4,7.34,7.34,1,6.75,6.75,3,7.11,7.11,2,6.88,6.88
4,9.18,16.52,1,9.27,16.02,3,9.10,16.21,2,9.23,16.11
4,8.51,25.03,2,8.65,24.67,3,8.56,24.77,1,8.53,24.64
4,8.47,33.50,2,8.67,33.34,3,8.60,33.37,1,8.60,33.24
1,9.09,42.581,2,9.52,42.855,0,,PEN,3,52.92,1:26.160
