John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME
1,12.42,12.42,4,12.63,12.63,2,12.54,12.54,5,12.83,,3,12.62,12.62
1,9.42,21.84,3,9.41,22.04,2,9.38,21.92,5,9.41,,4,9.52,22.14
1,9.21,31.05,3,9.20,31.24,2,9.22,31.14,4,9.02,,5,9.18,31.32
2,8.94,39.99,4,9.03,40.27,1,8.83,39.97,3,8.89,,5,9.26,40.58
4,9.75,49.74,3,9.26,49.53,1,9.06,49.03,2,9.04,,5,13.60,54.18
4,9.29,59.03,3,9.22,58.75,1,8.97,58.00,2,9.20,,5,9.81,1:03.99
4,9.98,1:09.01,3,9.41,1:08.16,1,9.07,1:07.07,2,8.97,,5,11.14,1:15.13
4,10.95,1:19.96,3,9.77,1:17.93,1,9.37,1:16.44,2,9.20,,5,14.40,1:29.53
4,12.37,1:32.33,3,10.12,1:28.05,1,9.81,1:26.25,2,9.90,,4,12.97,1:42.483
