Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,Aydar BEKZHANOV POSITION,Aydar BEKZHANOV LAP TIME,Aydar BEKZHANOV ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME
2,10.27,10.27,1,10.25,10.25,5,10.78,10.78,4,10.47,10.47,3,10.34,10.34
4,15.13,25.40,2,15.00,25.25,5,15.14,25.92,3,14.92,25.39,1,14.82,25.16
2,14.02,39.42,1,14.11,39.36,5,14.05,39.97,3,14.10,39.49,4,14.37,39.53
1,12.43,51.85,2,12.58,51.94,5,12.48,52.45,3,12.54,52.03,4,12.63,52.16
1,12.50,1:04.35,2,12.53,1:04.47,5,12.53,1:04.98,4,12.56,1:04.59,3,12.42,1:04.58
1,11.81,1:16.16,2,11.81,1:16.28,3,11.36,1:16.34,5,11.85,1:16.44,4,11.84,1:16.42
1,11.05,1:27.21,3,11.15,1:27.43,4,11.19,1:27.53,2,10.88,1:27.32,5,11.12,1:27.54
1,9.89,1:37.10,4,9.93,1:37.36,2,9.63,1:37.16,3,9.91,1:37.23,5,9.92,1:37.46
1,9.20,1:46.30,4,9.25,1:46.61,2,9.28,1:46.44,3,9.30,1:46.53,5,9.29,1:46.75
1,9.10,1:55.40,4,9.14,1:55.75,2,9.08,1:55.52,3,9.10,1:55.63,5,9.20,1:55.95
1,9.14,2:04.54,4,9.09,2:04.84,2,9.18,2:04.70,3,9.17,2:04.80,5,9.00,2:04.95
1,9.20,2:13.74,4,9.22,2:14.06,2,9.22,2:13.92,3,9.23,2:14.03,5,9.30,2:14.25
1,9.31,2:23.05,3,9.21,2:23.27,2,9.25,2:23.17,4,9.62,2:23.65,5,9.48,2:23.73
1,9.55,2:32.596,3,9.64,2:32.909,2,9.57,2:32.735,4,9.66,2:33.305,5,10.11,2:33.840
