Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Jose CAVALLI POSITION,Jose CAVALLI LAP TIME,Jose CAVALLI ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME
1,10.15,10.15,3,10.31,10.31,5,10.49,10.49,4,10.47,10.47,2,10.30,10.30
2,12.95,23.10,3,12.91,23.22,5,13.00,23.49,4,12.89,23.36,1,12.67,22.97
2,13.02,36.12,3,13.01,36.23,5,12.98,36.47,4,12.99,36.35,1,13.01,35.98
2,13.24,49.36,3,13.23,49.46,5,13.25,49.72,4,13.25,49.60,1,13.23,49.21
2,12.62,1:01.98,3,12.63,1:02.09,5,12.67,1:02.39,4,12.65,1:02.25,1,12.63,1:01.84
1,11.74,1:13.72,3,11.72,1:13.81,5,11.77,1:14.16,4,11.74,1:13.99,2,11.96,1:13.80
1,10.89,1:24.61,3,10.93,1:24.74,5,10.90,1:25.06,4,10.93,1:24.92,2,10.93,1:24.73
1,9.53,1:34.14,3,9.64,1:34.38,5,9.54,1:34.60,4,9.59,1:34.51,2,9.48,1:34.21
1,9.25,1:43.39,3,9.29,1:43.67,5,9.28,1:43.88,4,9.26,1:43.77,2,9.32,1:43.53
1,9.22,1:52.61,3,9.14,1:52.81,4,9.03,1:52.91,5,9.16,1:52.93,2,9.15,1:52.68
2,9.25,2:01.86,4,9.35,2:02.16,1,8.71,2:01.62,5,9.54,2:02.47,3,9.29,2:01.97
3,9.47,2:11.33,5,9.81,2:11.97,1,8.96,2:10.58,4,9.49,2:11.96,2,9.24,2:11.21
3,9.41,2:20.74,5,10.33,2:22.30,1,9.31,2:19.89,4,9.85,2:21.81,2,9.42,2:20.63
2,9.40,2:30.139,5,10.89,2:33.184,1,9.90,2:29.790,4,10.24,2:32.046,3,9.81,2:30.433
