Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME,MYKHALCHUK Diana POSITION,MYKHALCHUK Diana LAP TIME,MYKHALCHUK Diana ELAPSED TIME,YANG Yang POSITION,YANG Yang LAP TIME,YANG Yang ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,Selma POUTSMA POSITION,Selma POUTSMA LAP TIME,Selma POUTSMA ELAPSED TIME
1,7.33,7.33,4,8.04,8.04,2,7.71,7.71,3,7.81,7.81,4,8.04,8.04
1,9.63,16.96,5,10.12,18.16,2,9.54,17.25,3,9.53,17.34,4,9.38,17.42
1,9.02,25.98,5,9.64,27.80,2,8.84,26.09,3,8.89,26.23,4,8.89,26.31
2,9.38,35.36,5,9.98,37.78,1,9.18,35.27,4,9.21,35.44,2,9.05,35.36
3,9.62,44.98,5,10.33,48.11,1,9.53,44.80,4,9.62,45.06,2,9.54,44.90
