DUBOIS Steven POSITION,DUBOIS Steven LAP TIME,DUBOIS Steven ELAPSED TIME,Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,TREACY Niall POSITION,TREACY Niall LAP TIME,TREACY Niall ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME
3,12.90,12.90,5,13.14,13.14,2,12.69,12.69,4,13.02,13.02,1,12.64,12.64
3,9.84,22.74,5,9.81,22.95,1,9.84,22.53,4,9.82,22.84,2,9.99,22.63
3,9.78,32.52,4,9.67,32.62,1,9.75,32.28,5,9.90,32.74,2,9.68,32.31
3,9.21,41.73,4,9.23,41.85,2,9.27,41.55,5,9.24,41.98,1,9.22,41.53
3,9.03,50.76,4,9.09,50.94,1,9.09,50.64,5,9.11,51.09,2,9.22,50.75
2,8.95,59.71,4,9.03,59.97,1,8.95,59.59,5,8.96,1:00.05,3,9.06,59.81
1,8.70,1:08.41,4,8.86,1:08.83,2,8.95,1:08.54,5,8.88,1:08.93,3,8.87,1:08.68
1,8.77,1:17.18,5,8.95,1:17.78,2,8.75,1:17.29,4,8.68,1:17.61,3,8.76,1:17.44
1,8.84,1:26.02,5,9.32,1:27.107,2,8.83,1:26.12,4,8.82,1:26.434,3,8.75,1:26.19
