Olena KORINCHUK POSITION,Olena KORINCHUK LAP TIME,Olena KORINCHUK ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME
2,9.28,9.28,3,9.42,9.42,4,9.71,9.71,5,9.88,9.88,1,9.13,9.13
2,11.14,20.42,3,11.13,20.55,4,11.13,20.84,5,11.11,20.99,1,11.16,20.29
2,9.99,30.41,3,10.03,30.58,4,9.93,30.77,5,9.95,30.94,1,10.03,30.32
2,10.22,40.63,3,10.18,40.76,4,10.11,40.88,5,10.06,41.00,1,10.20,40.52
2,10.30,50.93,3,10.26,51.02,4,10.26,51.14,5,10.29,51.29,1,10.32,50.84
3,10.53,1:01.46,2,10.35,1:01.37,4,10.42,1:01.56,5,10.36,1:01.65,1,10.39,1:01.23
3,10.37,1:11.83,2,10.36,1:11.73,4,10.39,1:11.95,5,10.40,1:12.05,1,10.41,1:11.64
4,10.44,1:22.27,3,10.38,1:22.11,5,10.36,1:22.31,2,10.05,1:22.10,1,10.38,1:22.02
5,10.21,1:32.48,4,10.12,1:32.23,2,9.49,1:31.80,1,9.50,1:31.60,3,10.09,1:32.11
5,10.59,1:43.07,4,10.00,1:42.23,2,9.74,1:41.54,1,9.78,1:41.38,3,9.96,1:42.07
5,11.34,1:54.41,4,10.25,1:52.48,2,9.85,1:51.39,1,9.87,1:51.25,3,10.31,1:52.38
5,12.00,2:06.41,3,10.56,2:03.04,2,9.87,2:01.26,1,9.90,2:01.15,4,10.69,2:03.07
5,12.52,2:18.93,3,10.52,2:13.56,2,9.91,2:11.17,1,9.92,2:11.07,4,11.18,2:14.25
5,13.10,2:32.022,3,10.74,2:24.292,2,9.82,2:20.984,1,9.90,2:20.968,4,11.91,2:26.160
