Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,Valeriya REZNIK POSITION,Valeriya REZNIK LAP TIME,Valeriya REZNIK ELAPSED TIME,Rozsa DARAZS POSITION,Rozsa DARAZS LAP TIME,Rozsa DARAZS ELAPSED TIME,PARK Seung-Hi POSITION,PARK Seung-Hi LAP TIME,PARK Seung-Hi ELAPSED TIME
1,11.06,11.06,4,11.47,11.47,3,11.31,11.31,2,11.17,11.17,5,11.67,11.67
1,18.73,29.79,4,18.72,30.19,3,18.75,30.06,2,18.75,29.92,5,18.75,30.42
2,19.92,49.71,5,19.77,49.96,3,19.67,49.73,1,19.77,49.69,4,19.43,49.85
4,14.41,1:04.12,5,14.27,1:04.23,3,14.26,1:03.99,2,14.16,1:03.85,1,13.88,1:03.73
4,13.91,1:18.03,5,13.92,1:18.15,3,13.89,1:17.88,2,13.92,1:17.77,1,13.90,1:17.63
3,13.55,1:31.58,5,13.78,1:31.93,1,13.53,1:31.41,4,13.84,1:31.61,2,13.88,1:31.51
2,11.57,1:43.15,5,11.63,1:43.56,1,11.66,1:43.07,4,11.83,1:43.44,3,11.82,1:43.33
2,11.64,1:54.79,5,11.59,1:55.15,1,11.64,1:54.71,4,11.54,1:54.98,3,11.63,1:54.96
3,10.50,2:05.29,5,10.90,2:06.05,2,10.48,2:05.19,1,10.09,2:05.07,4,10.57,2:05.53
3,10.01,2:15.30,5,10.41,2:16.46,1,9.95,2:15.14,2,10.09,2:15.16,4,10.01,2:15.54
2,9.62,2:24.92,4,10.46,2:26.92,1,9.62,2:24.76,5,29.25,2:44.41,3,9.64,2:25.18
3,9.66,2:34.58,4,10.99,2:37.91,1,9.74,2:34.50,5,15.69,3:00.10,2,9.35,2:34.53
3,9.70,2:44.28,4,11.57,2:49.48,2,9.70,2:44.20,5,11.86,3:11.96,1,9.27,2:43.80
3,9.69,2:53.968,4,11.97,3:01.448,2,9.69,2:53.887,0,,PEN,1,10.05,2:53.849
