SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Artsiom PATUTKIN POSITION,Artsiom PATUTKIN LAP TIME,Artsiom PATUTKIN ELAPSED TIME
1,6.76,6.76,3,6.98,6.98,2,6.91,6.91,4,7.35,7.35
2,9.11,15.87,3,8.98,15.96,1,8.92,15.83,4,9.34,16.69
2,8.70,24.57,3,8.70,24.67,1,8.68,24.52,4,9.17,25.87
3,8.82,33.40,1,8.62,33.29,2,8.84,33.36,4,9.64,35.52
2,9.17,42.564,1,9.21,42.491,3,9.27,42.629,4,9.77,45.287
