Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Andrej VALACH POSITION,Andrej VALACH LAP TIME,Andrej VALACH ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Anthony DOUGLAS POSITION,Anthony DOUGLAS LAP TIME,Anthony DOUGLAS ELAPSED TIME
2,8.14,8.14,1,7.97,7.97,5,8.52,8.52,4,8.40,8.40,3,8.17,8.17
1,10.82,18.97,2,11.04,19.01,3,10.49,19.02,4,10.74,19.15,5,11.06,19.24
2,10.55,29.52,4,10.59,29.61,1,10.38,29.40,5,10.55,29.70,3,10.29,29.53
4,10.49,40.02,3,10.38,40.00,1,10.55,39.95,2,10.29,40.00,5,10.59,40.12
3,9.93,49.95,4,10.06,50.06,1,9.86,49.82,2,9.89,49.89,5,9.97,50.10
4,10.42,1:00.37,2,10.26,1:00.32,1,10.44,1:00.26,3,10.45,1:00.34,5,10.49,1:00.59
1,9.96,1:10.33,2,10.14,1:10.47,4,10.29,1:10.55,3,10.16,1:10.51,5,10.01,1:10.61
1,9.71,1:20.04,2,9.70,1:20.18,4,9.75,1:20.31,3,9.78,1:20.29,5,9.78,1:20.39
1,9.51,1:29.56,2,9.47,1:29.65,3,9.41,1:29.72,4,9.44,1:29.73,5,22.43,1:42.82
3,9.85,1:39.41,1,9.65,1:39.31,4,9.77,1:39.50,2,9.58,1:39.32,5,24.80,2:07.63
2,9.82,1:49.23,4,9.98,1:49.29,3,9.75,1:49.26,1,9.84,1:49.17,5,18.06,2:25.70
1,9.58,1:58.81,4,9.63,1:58.93,3,9.67,1:58.93,2,9.74,1:58.91,5,14.44,2:40.14
1,9.73,2:08.54,4,10.11,2:09.04,3,9.76,2:08.70,2,9.72,2:08.64,5,14.19,2:54.33
1,9.82,2:18.354,4,10.48,2:19.518,3,10.34,2:19.038,2,9.88,2:18.512,5,13.72,3:08.050
