Dennis VISSER POSITION,Dennis VISSER LAP TIME,Dennis VISSER ELAPSED TIME,Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME,GOEMINNE Gert-Jan POSITION,GOEMINNE Gert-Jan LAP TIME,GOEMINNE Gert-Jan ELAPSED TIME,SHULGINOV Alexander POSITION,SHULGINOV Alexander LAP TIME,SHULGINOV Alexander ELAPSED TIME,Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME,Thibaut MELINE POSITION,Thibaut MELINE LAP TIME,Thibaut MELINE ELAPSED TIME
3,9.50,9.50,4,9.67,9.67,5,9.85,9.85,6,10.06,10.06,1,9.21,9.21,2,9.35,9.35
3,12.32,21.82,4,12.26,21.93,5,12.20,22.05,6,12.17,22.23,1,12.37,21.58,2,12.36,21.71
2,10.91,32.73,4,10.88,32.81,5,10.91,32.96,6,10.90,33.13,1,11.05,32.63,3,11.06,32.77
2,10.07,42.80,3,10.07,42.88,5,10.10,43.06,6,10.15,43.28,1,10.04,42.67,4,10.14,42.91
2,9.81,52.61,2,9.73,52.61,5,9.86,52.92,6,9.71,52.99,1,9.83,52.50,4,9.90,52.81
3,9.66,1:02.27,1,9.54,1:02.15,6,9.67,1:02.59,5,9.51,1:02.50,1,9.65,1:02.15,4,9.61,1:02.42
2,9.29,1:11.56,1,9.34,1:11.49,6,9.36,1:11.95,4,9.25,1:11.75,3,9.47,1:11.62,5,9.34,1:11.76
2,9.31,1:20.87,1,9.30,1:20.79,6,9.43,1:21.38,4,9.35,1:21.10,3,9.37,1:20.99,5,9.47,1:21.23
2,9.20,1:30.07,1,9.19,1:29.98,6,9.19,1:30.57,3,9.10,1:30.20,4,9.39,1:30.38,5,9.23,1:30.46
2,9.12,1:39.19,1,9.11,1:39.09,6,9.29,1:39.86,3,9.10,1:39.30,5,9.26,1:39.64,4,9.17,1:39.63
3,9.21,1:48.40,1,9.11,1:48.20,6,9.25,1:49.11,2,9.02,1:48.32,5,9.37,1:49.01,4,9.31,1:48.94
3,9.22,1:57.62,1,9.18,1:57.38,5,9.47,1:58.58,2,9.18,1:57.50,6,9.84,1:58.85,4,9.30,1:58.24
3,9.47,2:07.09,1,9.48,2:06.86,5,9.36,2:07.94,2,9.46,2:06.96,6,10.72,2:09.57,4,9.52,2:07.76
2,9.65,2:16.678,1,9.77,2:16.63,4,,2:17.506,3,10.15,2:17.088,6,11.30,2:20.840,5,,2:17.510
