Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Dariya VOLOKITINA POSITION,Dariya VOLOKITINA LAP TIME,Dariya VOLOKITINA ELAPSED TIME,Elisa LENKE POSITION,Elisa LENKE LAP TIME,Elisa LENKE ELAPSED TIME,Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME
2,9.31,9.31,4,9.45,9.45,1,9.20,9.20,5,9.53,9.53,3,9.33,9.33
3,12.97,22.28,4,12.92,22.37,1,12.84,22.04,5,13.01,22.54,2,12.82,22.15
3,12.30,34.58,4,12.30,34.67,1,12.28,34.32,5,12.28,34.82,2,12.30,34.45
3,12.14,46.72,4,12.14,46.81,1,12.11,46.43,5,12.15,46.97,2,12.15,46.60
2,11.43,58.15,4,11.46,58.27,1,11.65,58.08,5,11.45,58.42,3,11.66,58.26
2,10.44,1:08.59,3,10.39,1:08.66,1,10.50,1:08.58,5,10.46,1:08.88,4,10.43,1:08.69
2,10.23,1:18.82,3,10.25,1:18.91,1,10.15,1:18.73,5,10.29,1:19.17,4,10.33,1:19.02
1,10.11,1:28.93,3,10.14,1:29.05,2,10.30,1:29.03,5,10.13,1:29.30,4,10.12,1:29.14
1,10.05,1:38.98,2,10.01,1:39.06,4,10.16,1:39.19,5,10.02,1:39.32,3,9.99,1:39.13
1,10.07,1:49.05,2,10.05,1:49.11,4,10.15,1:49.34,5,10.17,1:49.49,3,10.09,1:49.22
1,10.14,1:59.19,2,10.16,1:59.27,4,10.17,1:59.51,5,10.17,1:59.66,3,10.15,1:59.37
1,10.20,2:09.39,2,10.20,2:09.47,4,10.22,2:09.73,5,10.20,2:09.86,3,10.19,2:09.56
1,10.13,2:19.52,3,10.50,2:19.97,4,10.26,2:19.99,5,10.38,2:20.24,2,10.40,2:19.96
2,10.37,2:29.887,4,11.24,2:31.207,3,10.62,2:30.608,5,11.10,2:31.335,1,9.91,2:29.862
