Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,David Mano LOTH POSITION,David Mano LOTH LAP TIME,David Mano LOTH ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
1,12.28,12.28,3,12.53,12.53,2,12.43,12.43,4,12.64,12.64
1,9.65,21.93,3,9.59,22.12,2,9.60,22.03,4,9.53,22.17
2,9.49,31.42,4,9.54,31.66,3,9.52,31.55,1,9.18,31.35
2,9.51,40.93,4,9.45,41.11,3,9.39,40.94,1,9.49,40.84
4,9.39,50.32,3,9.09,50.20,1,9.02,49.96,2,9.21,50.05
4,9.18,59.50,3,9.17,59.37,1,9.20,59.16,2,9.20,59.25
4,9.33,1:08.83,3,9.30,1:08.67,1,9.24,1:08.40,2,9.17,1:08.42
4,9.70,1:18.53,3,9.30,1:17.97,2,9.17,1:17.57,1,9.05,1:17.47
4,10.33,1:28.856,3,9.74,1:27.706,2,9.17,1:26.738,1,9.20,1:26.661
