ZHAO Nannan POSITION,ZHAO Nannan LAP TIME,ZHAO Nannan ELAPSED TIME,SHIN Sae-Bom POSITION,SHIN Sae-Bom LAP TIME,SHIN Sae-Bom ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,Marie-Andree MENDES-CAMPEAU POSITION,Marie-Andree MENDES-CAMPEAU LAP TIME,Marie-Andree MENDES-CAMPEAU ELAPSED TIME,Valeriya REZNIK POSITION,Valeriya REZNIK LAP TIME,Valeriya REZNIK ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME
2,8.88,8.88,3,8.96,8.96,5,9.13,9.13,6,9.26,9.26,1,8.80,8.80,4,9.04,9.04,7,9.32,9.32
2,12.36,21.24,4,12.44,21.40,3,12.13,21.26,5,12.27,21.54,1,12.36,21.16,6,12.49,21.54,7,12.43,21.76
3,12.53,33.77,4,12.48,33.89,2,12.49,33.76,6,12.52,34.07,1,12.48,33.64,5,12.49,34.03,7,12.38,34.15
5,11.79,45.56,6,11.72,45.61,4,11.72,45.49,1,10.68,44.76,3,11.72,45.37,7,11.79,45.82,2,11.15,45.31
2,10.04,55.60,5,10.27,55.88,4,10.37,55.86,1,10.65,55.41,7,10.56,55.94,6,10.10,55.93,3,10.48,55.79
1,9.96,1:05.57,4,9.99,1:05.88,5,10.15,1:06.02,2,10.25,1:05.67,6,10.10,1:06.04,7,10.26,1:06.19,3,10.07,1:05.87
1,10.67,1:16.24,4,10.73,1:16.61,6,10.85,1:16.87,2,10.74,1:16.42,5,10.64,1:16.69,7,10.73,1:16.92,3,10.66,1:16.54
1,10.95,1:27.20,2,10.67,1:27.28,6,10.57,1:27.45,3,10.94,1:27.37,4,10.72,1:27.41,7,10.72,1:27.65,5,10.89,1:27.43
4,10.02,1:37.22,2,9.76,1:37.05,5,9.90,1:37.36,1,9.65,1:37.03,3,9.79,1:37.20,7,9.85,1:37.51,6,9.96,1:37.39
3,9.77,1:47.00,1,9.72,1:46.77,6,9.97,1:47.33,2,9.79,1:46.82,4,9.93,1:47.13,5,9.70,1:47.21,7,10.18,1:47.57
3,9.73,1:56.73,1,9.72,1:56.49,6,9.80,1:57.14,2,9.74,1:56.57,4,9.65,1:56.78,5,9.70,1:56.92,7,10.18,1:57.76
3,9.88,2:06.61,1,9.60,2:06.10,6,9.68,2:06.83,2,9.65,2:06.22,5,9.94,2:06.72,4,9.71,2:06.63,7,10.35,2:08.11
4,10.14,2:16.76,1,9.74,2:15.84,6,10.09,2:16.93,2,9.70,2:15.92,5,10.15,2:16.88,3,10.08,2:16.71,7,10.93,2:19.04
3,11.11,2:27.861,1,10.22,2:26.055,0,,DQ,2,10.18,2:26.097,6,34.58,2:51.454,5,30.23,2:46.935,4,11.68,2:30.719
