BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,Katherine RALSTON POSITION,Katherine RALSTON LAP TIME,Katherine RALSTON ELAPSED TIME,Louise MILESI POSITION,Louise MILESI LAP TIME,Louise MILESI ELAPSED TIME,LIU Yang POSITION,LIU Yang LAP TIME,LIU Yang ELAPSED TIME
3,14.98,14.98,1,14.80,14.80,4,15.12,15.12,2,14.92,14.92
3,12.09,27.07,1,12.04,26.84,4,12.06,27.18,2,12.02,26.94
3,11.77,38.84,1,11.81,38.65,4,11.76,38.94,2,11.80,38.74
3,11.39,50.23,1,11.31,49.96,4,11.42,50.36,2,11.39,50.13
3,10.85,1:01.08,2,11.03,1:00.99,4,10.82,1:01.18,1,10.78,1:00.91
2,10.51,1:11.59,3,10.65,1:11.64,4,10.67,1:11.85,1,10.63,1:11.54
2,10.13,1:21.72,3,10.15,1:21.79,4,10.06,1:21.91,1,10.10,1:21.64
2,9.68,1:31.40,3,9.82,1:31.61,4,9.81,1:31.72,1,9.68,1:31.32
2,9.67,1:41.07,3,9.67,1:41.285,4,9.61,1:41.337,1,9.65,1:40.97
