Yuma SAKURAI POSITION,Yuma SAKURAI LAP TIME,Yuma SAKURAI ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME
2,12.77,12.77,1,12.67,12.67,3,12.87,12.87,4,12.95,12.95
1,9.55,22.32,2,9.72,22.39,3,9.68,22.55,4,9.68,22.63
1,9.55,31.87,2,9.60,31.99,3,9.52,32.07,4,9.54,32.17
1,9.28,41.15,3,9.28,41.27,2,9.18,41.25,4,9.25,41.42
3,24.57,1:05.72,2,17.94,59.21,4,33.59,1:14.84,1,9.18,50.60
3,12.51,1:18.23,2,12.07,1:11.28,4,16.39,1:31.23,1,9.61,1:00.21
3,11.23,1:29.46,2,10.86,1:22.14,4,12.42,1:43.65,1,10.08,1:10.29
3,11.44,1:40.90,2,11.09,1:33.23,4,10.51,1:54.16,1,10.54,1:20.83
3,12.46,1:53.360,2,11.76,1:44.986,4,10.07,2:04.221,1,10.76,1:31.584
