Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Volodymyr GRYGORIEV POSITION,Volodymyr GRYGORIEV LAP TIME,Volodymyr GRYGORIEV ELAPSED TIME,LI Haonan POSITION,LI Haonan LAP TIME,LI Haonan ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME
1,6.580,6.580,4,7.251,7.251,2,6.647,6.647,3,6.950,6.950
1,9.326,15.906,3,9.094,16.344,2,9.371,16.017,4,9.705,16.654
1,8.982,24.887,3,8.791,25.135,2,8.963,24.979,4,8.681,25.335
2,9.275,34.162,4,9.425,34.559,1,9.054,34.033,3,9.003,34.337
2,9.51,43.669,4,9.38,43.933,1,9.55,43.576,3,9.48,43.813
