LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,YU Yongjun POSITION,YU Yongjun LAP TIME,YU Yongjun ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME
3,13.74,13.74,2,13.63,13.63,1,13.51,13.51,4,13.87,13.87
3,10.45,24.19,2,10.44,24.07,1,10.45,23.96,4,10.44,24.31
3,10.02,34.21,2,10.04,34.11,1,10.06,34.02,4,9.98,34.29
3,9.74,43.95,2,9.75,43.86,1,9.76,43.78,4,9.76,44.05
3,9.79,53.74,2,9.74,53.60,1,9.76,53.54,4,9.81,53.86
1,9.05,1:02.79,3,9.42,1:03.02,2,9.33,1:02.87,4,9.29,1:03.15
1,8.85,1:11.64,3,9.15,1:12.17,2,9.13,1:12.00,4,9.11,1:12.26
1,8.95,1:20.59,3,9.19,1:21.36,2,9.04,1:21.04,4,9.14,1:21.40
1,9.32,1:29.902,4,43.98,2:05.331,2,9.50,1:30.538,3,9.85,1:31.245
