HAYASHI Ibuki POSITION,HAYASHI Ibuki LAP TIME,HAYASHI Ibuki ELAPSED TIME,HEO Andrew POSITION,HEO Andrew LAP TIME,HEO Andrew ELAPSED TIME,Reinis BERZINS POSITION,Reinis BERZINS LAP TIME,Reinis BERZINS ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME
4,13.17,13.17,2,12.91,12.91,3,13.07,13.07,5,13.19,13.19,1,12.84,12.84
2,9.11,22.28,2,9.37,22.28,4,9.39,22.46,5,9.41,22.60,1,9.35,22.19
4,9.35,31.63,2,9.12,31.40,3,9.07,31.53,4,9.03,31.63,1,9.11,31.30
5,9.35,40.98,2,9.23,40.63,3,9.19,40.72,4,9.25,40.88,1,9.22,40.52
5,9.09,50.07,2,9.13,49.76,4,9.25,49.97,3,8.97,49.85,1,9.13,49.65
5,8.99,59.06,3,9.15,58.91,4,9.02,58.99,2,8.97,58.82,1,9.02,58.67
5,9.11,1:08.17,3,9.09,1:08.00,4,9.16,1:08.15,2,9.03,1:07.85,1,9.10,1:07.77
5,9.18,1:17.35,2,9.18,1:17.18,4,9.13,1:17.28,3,9.38,1:17.23,1,9.30,1:17.07
3,9.33,1:26.685,2,9.44,1:26.62,4,9.71,1:26.992,5,9.95,1:27.183,1,9.48,1:26.55
