HWANG Dae Heon POSITION,HWANG Dae Heon LAP TIME,HWANG Dae Heon ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,LUEDTKE Adrian POSITION,LUEDTKE Adrian LAP TIME,LUEDTKE Adrian ELAPSED TIME
2,12.74,,3,12.76,12.76,4,12.93,12.93,5,13.03,13.03,1,12.68,12.68
4,9.59,,1,9.30,22.06,5,9.51,22.44,3,9.26,22.29,2,9.51,22.19
4,9.20,,1,9.19,31.25,5,9.16,31.60,2,9.04,31.33,3,9.25,31.44
3,9.10,,1,9.18,40.43,5,9.18,40.78,2,9.19,40.52,4,9.20,40.64
2,8.77,,2,8.97,49.40,4,8.81,49.59,1,8.77,49.29,5,9.02,49.66
1,8.71,,3,8.93,58.33,2,8.68,58.27,4,9.10,58.39,5,8.84,58.50
1,8.85,,3,8.93,1:07.26,2,8.80,1:07.07,5,9.15,1:07.54,4,8.87,1:07.37
1,8.84,,3,8.86,1:16.12,2,8.91,1:15.98,5,8.90,1:16.44,4,8.86,1:16.23
1,9.04,,2,8.99,1:25.115,1,9.09,1:25.073,4,9.14,1:25.587,3,8.92,1:25.159
