KIM Min-Jee POSITION,KIM Min-Jee LAP TIME,KIM Min-Jee ELAPSED TIME,BYUN Chun-Sa POSITION,BYUN Chun-Sa LAP TIME,BYUN Chun-Sa ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Tania VICENT POSITION,Tania VICENT LAP TIME,Tania VICENT ELAPSED TIME
2,15.802,15.802,3,15.867,15.867,1,15.637,15.637,4,15.962,15.962
1,10.778,26.579,4,10.878,26.744,2,10.994,26.630,3,10.726,26.688
1,9.661,36.240,3,9.735,36.479,2,9.758,36.388,4,10.089,36.777
3,9.958,46.198,2,9.717,46.195,1,9.666,46.054,4,9.584,46.360
2,9.865,56.063,3,9.913,56.108,1,9.829,55.882,4,9.845,56.205
2,9.477,1:05.540,3,9.448,1:05.555,1,9.488,1:05.370,4,9.493,1:05.697
3,9.508,1:15.047,2,9.370,1:14.925,1,9.452,1:14.821,4,9.463,1:15.160
3,9.492,1:24.539,2,9.440,1:24.365,1,9.412,1:24.232,4,9.509,1:24.669
3,9.52,1:34.054,2,9.67,1:34.028,1,9.74,1:33.969,4,9.75,1:34.413
