IZAFATAVA Hanna POSITION,IZAFATAVA Hanna LAP TIME,IZAFATAVA Hanna ELAPSED TIME,ASCIC Valentina POSITION,ASCIC Valentina LAP TIME,ASCIC Valentina ELAPSED TIME,PENCHEVA Zornica POSITION,PENCHEVA Zornica LAP TIME,PENCHEVA Zornica ELAPSED TIME,UZAKOVA Mariia-Mahdalyna POSITION,UZAKOVA Mariia-Mahdalyna LAP TIME,UZAKOVA Mariia-Mahdalyna ELAPSED TIME,DOLGOPOLOVA Mariya POSITION,DOLGOPOLOVA Mariya LAP TIME,DOLGOPOLOVA Mariya ELAPSED TIME
3,16.34,16.34,2,16.26,,5,16.55,16.55,1,16.19,16.19,4,16.45,16.45
3,12.72,29.06,2,12.66,,5,12.78,29.33,1,12.61,28.80,4,12.73,29.18
3,11.82,40.88,2,11.81,,5,11.77,41.10,1,11.83,40.63,4,11.82,41.00
3,10.79,51.67,2,10.85,,5,10.79,51.89,1,10.85,51.48,4,10.78,51.78
3,9.89,1:01.56,2,9.86,,5,9.91,1:01.80,1,9.93,1:01.41,4,9.80,1:01.58
1,9.47,1:11.03,2,9.86,,3,9.65,1:11.45,5,10.23,1:11.64,4,9.90,1:11.48
1,9.66,1:20.69,2,9.66,,3,9.53,1:20.98,4,9.83,1:21.47,5,10.08,1:21.56
1,9.92,1:30.61,5,33.70,,2,10.15,1:31.13,3,10.06,1:31.53,4,10.10,1:31.66
1,10.19,1:40.783,5,16.89,,2,10.21,1:41.318,3,10.13,1:41.638,4,10.19,1:41.824
