van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME
3,7.78,7.78,1,7.46,7.46,2,7.57,7.57,4,7.90,7.90
3,9.51,17.29,1,9.67,17.13,2,9.66,17.23,4,9.58,17.48
2,8.94,26.23,1,8.97,26.10,3,9.09,26.32,4,8.97,26.45
2,9.10,35.33,1,9.08,35.18,3,9.15,35.47,4,9.13,35.58
2,9.18,44.51,1,9.28,44.46,3,9.09,44.56,4,9.10,44.68
