PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,LEE Hyo Been POSITION,LEE Hyo Been LAP TIME,LEE Hyo Been ELAPSED TIME,Eduard STRELKOV POSITION,Eduard STRELKOV LAP TIME,Eduard STRELKOV ELAPSED TIME
1,6.73,6.73,4,7.25,7.25,3,7.11,7.11,2,6.79,6.79
1,9.21,15.94,4,9.12,16.37,3,9.14,16.25,2,9.25,16.04
1,8.77,24.71,3,8.66,25.03,2,8.67,24.92,4,16.95,32.99
1,8.85,33.56,3,8.75,33.78,2,8.78,33.70,4,21.21,54.20
1,9.08,42.636,2,9.23,43.002,0,,PEN,3,14.91,1:09.106
