BALBEKOV Vladimir POSITION,BALBEKOV Vladimir LAP TIME,BALBEKOV Vladimir ELAPSED TIME,LEE Jeongmin POSITION,LEE Jeongmin LAP TIME,LEE Jeongmin ELAPSED TIME,ZHANG Tianyi POSITION,ZHANG Tianyi LAP TIME,ZHANG Tianyi ELAPSED TIME,Luca SPECHENHAUSER POSITION,Luca SPECHENHAUSER LAP TIME,Luca SPECHENHAUSER ELAPSED TIME,Niels KINGMA POSITION,Niels KINGMA LAP TIME,Niels KINGMA ELAPSED TIME
2,7.06,7.06,5,7.39,7.39,1,6.97,6.97,4,7.33,7.33,3,7.13,7.13
2,9.10,16.16,5,9.07,16.46,1,9.02,15.99,4,9.05,16.38,3,9.10,16.23
2,8.56,24.72,5,8.55,25.01,1,8.66,24.65,3,8.53,24.91,3,8.68,24.91
1,8.71,33.43,2,8.71,33.72,2,9.07,33.72,4,8.91,33.82,5,9.07,33.98
1,9.05,42.48,2,8.94,42.66,3,9.24,42.96,0,9.21,43.03,5,9.09,43.075
