HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Eduard STRELKOV POSITION,Eduard STRELKOV LAP TIME,Eduard STRELKOV ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,Aleksandr KOVAL POSITION,Aleksandr KOVAL LAP TIME,Aleksandr KOVAL ELAPSED TIME
6,11.35,11.35,3,11.04,11.04,2,10.90,10.90,5,11.34,11.34,1,10.77,10.77,4,11.09,11.09
5,14.49,25.84,4,14.56,25.60,2,14.48,25.38,6,14.62,25.96,1,14.50,25.27,3,14.38,25.47
5,14.16,40.00,4,14.15,39.75,3,14.26,39.64,6,14.17,40.13,1,14.16,39.43,2,14.10,39.57
5,13.37,53.37,4,13.43,53.18,3,13.33,52.97,6,13.39,53.52,1,13.43,52.86,2,13.37,52.94
5,12.05,1:05.42,4,12.15,1:05.33,2,12.15,1:05.12,6,11.97,1:05.49,3,12.37,1:05.23,1,12.09,1:05.03
3,11.85,1:17.27,5,12.03,1:17.36,4,12.15,1:17.27,6,11.95,1:17.44,1,11.76,1:16.99,2,12.13,1:17.16
1,9.62,1:26.89,5,9.85,1:27.21,3,9.79,1:27.06,6,9.90,1:27.34,4,10.12,1:27.11,2,9.86,1:27.02
1,9.68,1:36.57,5,9.72,1:36.93,2,9.62,1:36.68,6,9.71,1:37.05,4,9.73,1:36.84,3,9.69,1:36.71
1,9.81,1:46.38,5,9.78,1:46.71,2,9.79,1:46.47,6,9.75,1:46.80,4,9.81,1:46.65,3,9.87,1:46.58
1,10.05,1:56.43,5,10.09,1:56.80,2,10.04,1:56.51,6,10.09,1:56.89,4,10.07,1:56.72,3,10.06,1:56.64
1,9.75,2:06.18,5,9.78,2:06.58,2,9.77,2:06.28,6,9.79,2:06.68,3,9.67,2:06.39,4,9.81,2:06.45
1,9.23,2:15.41,4,9.35,2:15.93,2,9.28,2:15.56,5,9.32,2:16.00,3,9.33,2:15.72,6,10.08,2:16.53
1,9.28,2:24.69,4,9.22,2:25.15,2,9.39,2:24.95,5,9.22,2:25.22,3,9.26,2:24.98,6,12.40,2:28.93
1,9.62,2:34.303,5,31.42,2:56.570,4,26.10,2:51.043,2,9.35,2:34.562,0,,PEN,3,15.32,2:44.241
