Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,JUNG Eun-Ju POSITION,JUNG Eun-Ju LAP TIME,JUNG Eun-Ju ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Patricia TOTH POSITION,Patricia TOTH LAP TIME,Patricia TOTH ELAPSED TIME
1,9.86,9.86,5,10.40,10.40,4,10.32,10.32,2,10.13,10.13,3,10.17,10.17
1,12.37,22.23,4,12.37,22.77,3,12.28,22.61,2,12.27,22.40,5,12.98,23.15
1,11.21,33.44,4,10.96,33.74,5,11.18,33.79,3,11.18,33.59,2,10.39,33.54
1,10.89,44.33,5,10.98,44.72,4,10.92,44.72,2,10.96,44.55,3,11.02,44.57
1,10.79,55.13,4,10.80,55.53,5,10.82,55.54,3,10.71,55.26,2,10.68,55.25
1,10.58,1:05.72,5,10.70,1:06.24,4,10.59,1:06.13,2,10.58,1:05.84,3,10.71,1:05.96
1,10.53,1:16.25,4,10.34,1:16.58,5,10.47,1:16.61,3,10.59,1:16.44,2,10.47,1:16.43
1,10.34,1:26.60,3,10.07,1:26.66,5,10.34,1:26.95,2,10.19,1:26.63,4,10.50,1:26.94
2,10.00,1:36.60,1,9.88,1:36.54,5,9.95,1:36.91,3,10.17,1:36.81,4,9.94,1:36.89
1,10.03,1:46.64,2,10.19,1:46.73,4,10.13,1:47.04,3,10.10,1:46.92,5,11.77,1:48.66
2,10.15,1:56.79,1,10.02,1:56.76,4,10.02,1:57.06,3,10.07,1:56.99,5,11.39,2:00.06
3,10.24,2:07.04,1,9.90,2:06.67,2,9.81,2:06.88,4,10.26,2:07.26,5,12.27,2:12.34
3,10.41,2:17.45,2,10.21,2:16.88,1,9.40,2:16.28,4,10.36,2:17.62,5,12.94,2:25.29
3,10.79,2:28.234,2,10.79,2:27.669,1,9.95,2:26.229,4,11.10,2:28.720,5,13.12,2:38.406
