DESMET Stijn POSITION,DESMET Stijn LAP TIME,DESMET Stijn ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,YOSHINAGA Kazuki POSITION,YOSHINAGA Kazuki LAP TIME,YOSHINAGA Kazuki ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME,Sebastien GAGNON POSITION,Sebastien GAGNON LAP TIME,Sebastien GAGNON ELAPSED TIME,Bram STEENAART POSITION,Bram STEENAART LAP TIME,Bram STEENAART ELAPSED TIME
2,12.38,12.38,5,12.90,12.90,3,12.63,12.63,1,12.35,12.35,6,13.04,13.04,4,12.72,12.72
2,9.61,21.99,4,9.34,22.24,3,9.56,22.19,1,9.63,21.98,6,9.37,22.41,5,9.54,22.26
1,9.08,31.07,2,8.84,31.08,4,9.06,31.25,3,9.18,31.16,5,8.93,31.34,6,9.15,31.41
2,9.07,40.14,1,8.97,40.05,4,9.08,40.33,3,9.06,40.22,5,9.06,40.40,6,9.08,40.49
3,9.45,49.59,1,9.25,49.30,2,9.15,49.48,5,9.52,49.74,6,9.45,49.85,4,9.18,49.67
3,9.00,58.59,1,9.13,58.43,2,8.98,58.46,5,9.03,58.77,6,9.02,58.87,4,9.01,58.68
3,9.13,1:07.72,1,9.04,1:07.47,2,9.18,1:07.64,5,9.01,1:07.78,6,9.01,1:07.88,4,9.09,1:07.77
3,9.11,1:16.83,1,8.94,1:16.41,2,8.97,1:16.61,4,9.11,1:16.89,6,9.31,1:17.19,5,9.35,1:17.12
3,9.35,1:26.18,1,9.10,1:25.51,2,9.14,1:25.75,4,9.39,1:26.288,6,9.31,1:26.503,5,9.18,1:26.307
