PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,ASCIC Valentina POSITION,ASCIC Valentina LAP TIME,ASCIC Valentina ELAPSED TIME,MANOILOVA Katrin POSITION,MANOILOVA Katrin LAP TIME,MANOILOVA Katrin ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME
1,11.01,11.01,2,11.18,11.18,4,11.63,11.63,3,11.42,11.42,5,11.85,11.85
1,16.59,27.60,2,16.57,27.75,4,16.54,28.17,3,16.57,27.99,5,16.57,28.42
1,14.70,42.30,2,14.75,42.50,4,14.73,42.90,3,14.71,42.70,5,14.75,43.17
2,13.15,55.45,3,13.05,55.55,4,12.71,55.61,1,12.73,55.43,5,12.74,55.91
3,11.74,1:07.19,4,11.66,1:07.21,2,11.49,1:07.10,1,11.55,1:06.98,5,11.56,1:07.47
4,10.75,1:17.94,1,10.30,1:17.51,3,10.64,1:17.74,2,10.65,1:17.63,5,10.73,1:18.20
4,10.50,1:28.44,1,10.68,1:28.19,3,10.60,1:28.34,2,10.58,1:28.21,5,10.36,1:28.56
2,9.94,1:38.38,5,10.33,1:38.52,3,10.08,1:38.42,1,10.04,1:38.25,4,9.93,1:38.49
4,10.09,1:48.47,5,10.12,1:48.64,3,9.92,1:48.34,1,9.84,1:48.09,2,9.68,1:48.17
4,9.99,1:58.46,5,9.98,1:58.62,3,10.00,1:58.34,1,9.79,1:57.88,2,9.83,1:58.00
4,9.92,2:08.38,5,9.91,2:08.53,3,9.94,2:08.28,1,9.91,2:07.79,2,9.89,2:07.89
3,10.07,2:18.45,5,10.33,2:18.86,4,10.49,2:18.77,1,9.92,2:17.71,1,9.82,2:17.71
3,9.92,2:28.37,4,10.14,2:29.00,5,11.07,2:29.84,2,9.92,2:27.63,1,9.81,2:27.52
3,10.35,2:38.72,4,10.66,2:39.66,5,11.94,2:41.78,2,10.09,2:37.72,1,9.94,2:37.46
