Jessica GREGG POSITION,Jessica GREGG LAP TIME,Jessica GREGG ELAPSED TIME,Kalyna ROBERGE POSITION,Kalyna ROBERGE LAP TIME,Kalyna ROBERGE ELAPSED TIME,Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,SUN Linlin POSITION,SUN Linlin LAP TIME,SUN Linlin ELAPSED TIME
1,7.20,7.20,2,7.45,7.45,3,7.54,7.54,4,7.71,7.71
1,9.30,16.50,2,9.20,16.65,3,9.24,16.78,4,9.36,17.07
1,9.08,25.58,2,9.01,25.66,3,8.98,25.76,4,9.05,26.12
2,8.99,34.57,1,8.89,34.55,3,8.96,34.72,4,8.97,35.09
2,9.31,43.876,1,9.17,43.717,3,9.24,43.957,4,9.03,44.113
