PIVIROTTO Ryan POSITION,PIVIROTTO Ryan LAP TIME,PIVIROTTO Ryan ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,TALABOS Attila POSITION,TALABOS Attila LAP TIME,TALABOS Attila ELAPSED TIME,Davut TAHTACI POSITION,Davut TAHTACI LAP TIME,Davut TAHTACI ELAPSED TIME
1,12.64,,2,12.74,12.74,3,12.87,12.87,4,12.99,12.99,5,13.06,13.06
1,9.66,,3,9.77,22.51,2,9.51,22.38,5,9.68,22.67,4,9.54,22.60
1,9.30,,3,9.28,31.79,2,9.31,31.69,5,9.29,31.96,4,9.31,31.91
2,9.36,,3,9.18,40.97,1,9.19,40.88,5,9.34,41.30,4,9.24,41.15
3,9.27,,2,9.17,50.14,1,9.18,50.06,5,9.25,50.55,4,9.26,50.41
3,9.05,,1,8.90,59.04,2,9.09,59.15,5,9.13,59.68,4,9.06,59.47
3,8.79,,1,8.84,1:07.88,2,8.80,1:07.95,5,9.17,1:08.85,4,9.11,1:08.58
5,19.14,,2,9.38,1:17.26,1,9.03,1:16.98,4,9.80,1:18.65,3,9.67,1:18.25
5,17.02,,2,9.78,1:27.04,1,9.44,1:26.42,4,10.42,1:29.07,3,10.18,1:28.43
