ANDERMANN Nico POSITION,ANDERMANN Nico LAP TIME,ANDERMANN Nico ELAPSED TIME,ANTONIOLI Mattia POSITION,ANTONIOLI Mattia LAP TIME,ANTONIOLI Mattia ELAPSED TIME,LIAO Wei-Cheng POSITION,LIAO Wei-Cheng LAP TIME,LIAO Wei-Cheng ELAPSED TIME,BLAIS Cedrik POSITION,BLAIS Cedrik LAP TIME,BLAIS Cedrik ELAPSED TIME,LI Wenlong POSITION,LI Wenlong LAP TIME,LI Wenlong ELAPSED TIME
1,6.94,,3,7.11,7.11,4,7.14,7.14,2,7.08,7.08,5,7.23,7.23
2,9.13,,3,9.09,16.20,5,9.88,17.02,1,8.86,15.94,4,9.07,16.30
2,8.56,,4,8.63,24.83,5,9.44,26.46,1,8.54,24.48,3,8.43,24.73
2,8.52,,4,8.50,33.33,5,9.26,35.72,1,8.52,33.00,3,8.45,33.18
4,9.46,,2,8.54,41.87,5,9.67,45.39,1,8.72,41.72,3,9.16,42.34
