Murray COCHRANE POSITION,Murray COCHRANE LAP TIME,Murray COCHRANE ELAPSED TIME,Yoann MARTINEZ POSITION,Yoann MARTINEZ LAP TIME,Yoann MARTINEZ ELAPSED TIME,Wojciech KAMIENSKI POSITION,Wojciech KAMIENSKI LAP TIME,Wojciech KAMIENSKI ELAPSED TIME,KAUFMANN-LUDWIG Leon POSITION,KAUFMANN-LUDWIG Leon LAP TIME,KAUFMANN-LUDWIG Leon ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,Teerit VONGKOVIT POSITION,Teerit VONGKOVIT LAP TIME,Teerit VONGKOVIT ELAPSED TIME
1,8.69,8.69,4,8.94,8.94,2,8.81,8.81,3,8.93,8.93,6,9.28,9.28,5,9.04,9.04
2,12.76,21.45,5,12.71,21.65,3,12.73,21.54,4,12.66,21.59,1,11.94,21.22,6,12.83,21.87
2,12.00,33.45,5,12.12,33.77,4,12.13,33.67,3,11.92,33.51,1,12.11,33.33,6,12.02,33.89
4,12.54,45.99,5,12.33,46.10,3,12.29,45.96,2,12.32,45.83,1,12.32,45.65,6,12.30,46.19
1,11.15,57.14,5,11.61,57.71,4,11.57,57.53,2,11.48,57.31,3,11.72,57.37,6,11.67,57.86
2,11.03,1:08.17,5,10.73,1:08.44,3,10.70,1:08.23,4,10.95,1:08.26,1,10.75,1:08.12,6,10.72,1:08.58
3,10.18,1:18.35,5,10.23,1:18.67,1,9.82,1:18.05,4,10.21,1:18.47,2,10.07,1:18.19,6,10.28,1:18.86
4,10.20,1:28.55,5,9.99,1:28.66,2,10.24,1:28.29,3,9.94,1:28.41,1,10.04,1:28.23,6,9.91,1:28.77
3,10.01,1:38.56,5,10.03,1:38.69,4,10.32,1:38.61,2,10.05,1:38.46,1,10.09,1:38.32,6,10.12,1:38.89
3,9.93,1:48.49,5,10.00,1:48.69,4,10.06,1:48.67,2,9.93,1:48.39,1,9.75,1:48.07,6,10.09,1:48.98
2,9.86,1:58.35,4,9.94,1:58.63,5,10.21,1:58.88,3,10.14,1:58.53,1,9.67,1:57.74,6,10.09,1:59.07
2,9.98,2:08.33,3,10.00,2:08.63,5,10.34,2:09.22,4,10.55,2:09.08,1,9.78,2:07.52,6,10.27,2:09.34
2,10.42,2:18.75,3,10.12,2:18.75,5,10.85,2:20.07,4,10.69,2:19.77,1,9.89,2:17.41,6,10.76,2:20.10
2,10.86,2:29.604,3,11.40,2:30.142,6,11.45,2:31.517,4,10.84,2:30.610,1,10.30,2:27.707,5,10.90,2:30.992
