Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME,Vojtech LOUDIN POSITION,Vojtech LOUDIN LAP TIME,Vojtech LOUDIN ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Azamat NURMAGAMBETOV POSITION,Azamat NURMAGAMBETOV LAP TIME,Azamat NURMAGAMBETOV ELAPSED TIME
2,13.15,13.15,3,13.24,13.24,1,13.12,13.12,4,13.41,13.41
3,10.21,23.36,1,9.77,23.01,2,10.16,23.28,4,10.08,23.49
3,9.38,32.74,1,9.54,32.55,2,9.38,32.66,4,9.46,32.95
3,9.59,42.33,1,9.58,42.13,2,9.56,42.22,4,9.55,42.50
3,9.63,51.96,1,9.63,51.76,2,9.65,51.87,4,9.91,52.41
3,9.82,1:01.78,1,9.84,1:01.60,2,9.82,1:01.69,4,10.26,1:02.67
3,9.89,1:11.67,1,9.92,1:11.52,2,9.91,1:11.60,4,10.67,1:13.34
1,9.66,1:21.33,2,9.91,1:21.43,3,9.85,1:21.45,4,11.35,1:24.69
1,9.65,1:30.979,3,10.17,1:31.598,2,9.78,1:31.224,4,11.82,1:36.509
