LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,Evgenii KOZULIN POSITION,Evgenii KOZULIN LAP TIME,Evgenii KOZULIN ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME
3,7.25,7.25,1,6.99,6.99,2,7.11,7.11,4,7.46,7.46
3,9.63,16.88,1,9.47,16.46,2,9.40,16.51,4,9.48,16.94
4,9.37,26.25,2,9.00,25.46,1,8.89,25.40,3,8.87,25.81
4,9.65,35.90,2,9.16,34.62,1,9.14,34.54,3,8.99,34.80
4,10.08,45.973,2,9.35,43.970,1,9.24,43.776,3,9.24,44.034
