Adam FILIPOWICZ POSITION,Adam FILIPOWICZ LAP TIME,Adam FILIPOWICZ ELAPSED TIME,YANG Fei POSITION,YANG Fei LAP TIME,YANG Fei ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME
2,9.41,9.41,4,9.66,9.66,3,9.52,9.52,1,9.21,9.21,5,9.85,9.85
2,12.93,22.34,4,12.96,22.62,3,12.98,22.50,1,12.98,22.19,5,12.88,22.73
2,12.46,34.80,4,12.43,35.05,3,12.42,34.92,1,12.47,34.66,5,12.46,35.19
2,12.02,46.82,4,12.01,47.06,3,12.04,46.96,1,12.00,46.66,5,11.99,47.18
2,11.83,58.65,4,11.81,58.87,3,11.79,58.75,1,11.89,58.55,5,11.78,58.96
2,11.56,1:10.21,4,11.57,1:10.44,3,11.58,1:10.33,1,11.55,1:10.10,5,11.57,1:10.53
2,11.55,1:21.76,3,11.35,1:21.79,4,11.52,1:21.85,1,11.54,1:21.64,5,11.37,1:21.90
2,10.08,1:31.84,1,9.99,1:31.78,5,10.03,1:31.88,4,10.23,1:31.87,3,9.94,1:31.84
2,9.90,1:41.74,3,10.10,1:41.88,5,24.15,1:56.03,4,10.15,1:42.02,1,9.82,1:41.66
1,9.86,1:51.60,3,9.99,1:51.87,5,14.24,2:10.27,4,10.09,1:52.11,2,10.12,1:51.78
1,9.50,2:01.10,3,9.46,2:01.33,5,13.56,2:23.83,4,9.33,2:01.44,2,9.46,2:01.24
1,9.47,2:10.57,3,9.42,2:10.75,5,11.78,2:35.61,4,9.47,2:10.91,2,9.45,2:10.69
2,9.53,2:20.10,3,9.39,2:20.14,5,11.35,2:46.96,4,9.47,2:20.38,1,9.24,2:19.93
3,9.75,2:29.841,2,9.45,2:29.585,5,11.32,2:58.279,4,9.52,2:29.893,1,9.49,2:29.413
