Yu MIURA POSITION,Yu MIURA LAP TIME,Yu MIURA ELAPSED TIME,Vincent ANDRE POSITION,Vincent ANDRE LAP TIME,Vincent ANDRE ELAPSED TIME,Ondrej SUCHY POSITION,Ondrej SUCHY LAP TIME,Ondrej SUCHY ELAPSED TIME,WEI Jiguang POSITION,WEI Jiguang LAP TIME,WEI Jiguang ELAPSED TIME,Trevor MARSICANO POSITION,Trevor MARSICANO LAP TIME,Trevor MARSICANO ELAPSED TIME,VOLIKOV Artem POSITION,VOLIKOV Artem LAP TIME,VOLIKOV Artem ELAPSED TIME
0,8.918,8.918,0,9.182,9.182,0,9.396,9.396,0,9.499,9.499,0,9.672,9.672,0,9.244,9.244
0,14.994,23.912,0,14.896,24.078,0,14.945,24.341,0,14.993,24.492,0,14.814,24.486,0,15.760,25.005
0,13.092,37.004,0,13.313,37.391,0,12.412,36.754,0,13.331,37.822,0,12.837,37.323,0,22.022,47.026
0,11.440,48.444,0,11.161,48.552,0,11.447,48.200,0,11.009,48.831,0,11.452,48.775,0,,
0,11.402,59.846,0,11.533,1:00.086,0,11.322,59.522,0,11.468,1:00.299,0,11.096,59.871,0,,59.704
0,10.790,1:10.636,0,10.852,1:10.938,0,10.812,1:10.334,0,10.841,1:11.140,0,10.831,1:10.702,0,10.859,1:10.562
0,9.876,1:20.512,0,9.720,1:20.658,0,10.252,1:20.586,0,9.805,1:20.945,0,10.070,1:20.772,0,9.463,1:20.025
0,10.361,1:30.873,0,10.390,1:31.048,0,10.687,1:31.273,0,10.402,1:31.348,0,10.274,1:31.046,0,10.622,1:30.647
0,9.853,1:40.726,0,9.811,1:40.858,0,10.395,1:41.668,0,9.682,1:41.030,0,9.806,1:40.852,0,9.782,1:40.429
0,24.840,2:05.565,0,9.319,1:50.178,0,10.286,1:51.953,0,9.519,1:50.549,0,9.349,1:50.200,0,24.402,2:04.831
0,12.539,2:18.104,0,9.461,1:59.638,0,10.928,2:02.881,0,9.249,1:59.798,0,11.053,2:01.253,0,13.160,2:17.991
0,10.862,2:28.966,0,16.131,2:15.769,0,10.806,2:13.687,0,18.506,2:18.303,0,10.380,2:11.633,0,10.748,2:28.738
0,10.754,2:39.719,0,11.285,2:27.054,0,11.352,2:25.039,0,12.566,2:30.869,0,8.909,2:20.542,0,10.600,2:39.338
0,,,0,,,0,,,0,,,0,,,0,,
