Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME,ANTONIOLI Mattia POSITION,ANTONIOLI Mattia LAP TIME,ANTONIOLI Mattia ELAPSED TIME,Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,Menderes EREN POSITION,Menderes EREN LAP TIME,Menderes EREN ELAPSED TIME
1,13.57,13.57,4,13.94,13.94,2,13.71,13.71,3,13.84,13.84,5,14.05,14.05
1,11.14,24.71,4,11.06,25.00,2,11.02,24.73,3,11.05,24.89,5,11.10,25.15
2,10.04,34.75,3,9.84,34.84,1,9.96,34.69,4,9.96,34.85,5,9.88,35.03
3,9.61,44.36,1,9.35,44.19,2,9.57,44.26,3,9.51,44.36,5,9.58,44.61
4,9.87,54.23,1,9.72,53.91,3,9.85,54.11,2,9.61,53.97,5,9.72,54.33
4,9.44,1:03.67,2,9.55,1:03.46,3,9.45,1:03.56,1,9.34,1:03.31,5,9.56,1:03.89
4,9.18,1:12.85,2,9.17,1:12.63,3,9.21,1:12.77,1,9.03,1:12.34,5,9.17,1:13.06
3,9.09,1:21.94,2,9.10,1:21.73,3,9.17,1:21.94,1,9.17,1:21.51,5,9.36,1:22.42
4,9.46,1:31.378,2,9.31,1:31.04,3,9.36,1:31.30,1,9.38,1:30.89,5,9.76,1:32.165
