TSANG Kei Wing Kelvin POSITION,TSANG Kei Wing Kelvin LAP TIME,TSANG Kei Wing Kelvin ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME
3,15.54,15.54,2,15.40,15.40,5,15.67,15.67,3,15.54,15.54,1,15.27,15.27
1,10.38,25.92,3,10.89,26.29,5,10.88,26.55,4,10.91,26.45,2,10.87,26.14
1,9.98,35.90,3,9.82,36.11,5,9.78,36.33,4,9.79,36.24,2,9.84,35.98
5,10.53,46.43,2,9.92,46.03,4,9.96,46.29,3,9.91,46.15,1,9.96,45.94
5,10.92,57.35,3,9.73,55.76,4,9.60,55.89,1,9.41,55.56,2,9.73,55.67
5,11.31,1:08.66,2,9.30,1:05.06,4,9.34,1:05.23,1,9.39,1:04.95,3,9.47,1:05.14
5,11.68,1:20.34,2,9.27,1:14.33,4,9.30,1:14.53,1,9.30,1:14.25,3,9.29,1:14.43
5,12.61,1:32.95,2,8.98,1:23.31,4,9.12,1:23.65,1,8.96,1:23.21,3,9.02,1:23.45
5,12.58,1:45.53,0,,PHOTO,4,9.17,1:32.82,1,8.95,1:32.16,0,,PHOTO
