Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME
2,7.14,7.14,3,7.29,7.29,1,7.00,7.00,4,7.35,7.35
2,9.14,16.28,3,9.28,16.57,1,9.19,16.19,4,9.28,16.63
2,8.80,25.08,3,8.75,25.32,1,8.82,25.01,4,8.85,25.48
2,8.95,34.03,3,8.83,34.15,1,8.94,33.95,4,8.78,34.26
1,8.93,42.959,3,9.09,43.238,2,9.20,43.142,4,9.10,43.357
