Jarmil HRUZA POSITION,Jarmil HRUZA LAP TIME,Jarmil HRUZA ELAPSED TIME,Arian NACHBAR POSITION,Arian NACHBAR LAP TIME,Arian NACHBAR ELAPSED TIME,Takafumi NISHITANI POSITION,Takafumi NISHITANI LAP TIME,Takafumi NISHITANI ELAPSED TIME,Matthieu de BOISSET POSITION,Matthieu de BOISSET LAP TIME,Matthieu de BOISSET ELAPSED TIME,J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME
4,7.157,7.157,2,6.728,6.728,1,6.696,6.696,5,7.513,7.513,3,6.898,6.898
4,9.777,16.933,1,8.898,15.625,2,9.157,15.853,5,9.423,16.935,3,9.137,16.035
4,9.769,26.702,1,8.791,24.415,2,8.620,24.472,5,9.859,26.794,3,8.692,24.726
5,9.851,36.553,3,9.296,33.711,2,9.166,33.638,4,8.175,34.969,1,8.790,33.515
5,10.86,47.404,3,9.25,42.957,1,9.18,42.815,4,9.51,44.471,2,9.38,42.891
