MIGUNOV Dmitry POSITION,MIGUNOV Dmitry LAP TIME,MIGUNOV Dmitry ELAPSED TIME,SIGHEL Pietro POSITION,SIGHEL Pietro LAP TIME,SIGHEL Pietro ELAPSED TIME,Melle van 'T WOUT POSITION,Melle van 'T WOUT LAP TIME,Melle van 'T WOUT ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME
1,6.89,6.89,3,7.25,7.25,4,7.38,7.38,2,7.03,7.03,5,7.54,7.54
1,8.99,15.88,3,9.00,16.25,5,9.14,16.52,2,9.01,16.04,4,8.90,16.44
1,8.63,24.51,3,8.39,24.64,5,8.33,24.85,2,8.50,24.54,4,8.31,24.75
5,8.97,33.48,2,8.52,33.16,4,8.53,33.38,1,8.47,33.01,3,8.62,33.37
5,9.52,43.00,2,8.81,41.97,3,8.72,42.10,1,8.63,41.64,4,9.14,42.51
