Krystian GISZKA POSITION,Krystian GISZKA LAP TIME,Krystian GISZKA ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME,LAHIMAKHAY Ivan POSITION,LAHIMAKHAY Ivan LAP TIME,LAHIMAKHAY Ivan ELAPSED TIME,Vladislav MIKHAILOV POSITION,Vladislav MIKHAILOV LAP TIME,Vladislav MIKHAILOV ELAPSED TIME,Artem DERKACH POSITION,Artem DERKACH LAP TIME,Artem DERKACH ELAPSED TIME,Bartosz BIELECKI POSITION,Bartosz BIELECKI LAP TIME,Bartosz BIELECKI ELAPSED TIME
1,8.02,8.02,2,8.13,8.13,4,8.24,8.24,5,8.36,8.36,6,8.52,8.52,3,8.22,8.22
1,10.86,18.88,2,10.83,18.96,4,10.95,19.19,5,10.94,19.30,6,10.95,19.47,3,10.85,19.07
1,10.31,29.19,2,10.33,29.29,4,10.32,29.51,5,10.30,29.60,6,10.26,29.73,3,10.33,29.40
1,10.20,39.39,2,10.19,39.48,4,10.19,39.70,5,10.21,39.81,6,10.23,39.96,3,10.18,39.58
1,10.09,49.48,2,10.07,49.55,4,10.04,49.74,5,10.03,49.84,6,10.00,49.96,3,10.06,49.64
1,9.99,59.47,2,10.01,59.56,4,10.02,59.76,5,10.03,59.87,6,10.02,59.98,3,10.01,59.65
1,9.91,1:09.38,2,9.91,1:09.47,4,9.89,1:09.65,5,9.87,1:09.74,6,9.88,1:09.86,3,9.91,1:09.56
1,9.90,1:19.28,2,9.91,1:19.38,4,9.93,1:19.58,6,10.06,1:19.80,5,9.82,1:19.68,3,9.93,1:19.49
1,9.82,1:29.10,2,9.83,1:29.21,4,9.79,1:29.37,6,9.75,1:29.55,5,9.70,1:29.38,3,9.79,1:29.28
1,9.94,1:39.04,3,9.94,1:39.15,5,10.02,1:39.39,6,9.96,1:39.51,4,9.90,1:39.28,2,9.86,1:39.14
5,10.36,1:49.40,3,10.05,1:49.20,4,9.89,1:49.28,6,10.04,1:49.55,1,9.63,1:48.91,2,9.95,1:49.09
5,10.11,1:59.51,3,9.97,1:59.17,4,9.98,1:59.26,6,10.12,1:59.67,1,9.84,1:58.75,2,9.86,1:58.95
5,10.25,2:09.76,4,10.08,2:09.25,3,9.80,2:09.06,6,10.17,2:09.84,1,9.63,2:08.38,2,9.93,2:08.88
5,10.46,2:20.202,4,10.36,2:19.581,2,9.96,2:19.004,6,10.62,2:20.438,1,9.77,2:18.129,3,10.57,2:19.427
