Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,SU Jun-Peng POSITION,SU Jun-Peng LAP TIME,SU Jun-Peng ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME
4,16.52,16.52,2,16.20,16.20,3,16.35,16.35,1,16.10,16.10
2,12.78,29.30,3,13.13,29.33,4,13.12,29.47,1,13.14,29.24
1,11.24,40.54,3,11.57,40.90,4,11.55,41.02,2,11.57,40.81
1,10.82,51.36,3,10.71,51.61,4,10.72,51.74,2,10.71,51.52
3,10.10,1:01.46,2,9.84,1:01.45,4,10.07,1:01.81,1,9.86,1:01.38
3,9.34,1:10.80,2,9.17,1:10.62,4,9.42,1:11.23,1,9.11,1:10.49
3,8.81,1:19.61,2,8.87,1:19.49,4,9.41,1:20.64,1,8.87,1:19.36
3,8.75,1:28.36,2,8.71,1:28.20,4,9.72,1:30.36,1,8.75,1:28.11
3,8.85,1:37.21,2,8.85,1:37.05,4,9.97,1:40.33,1,8.83,1:36.94
