Alexander MERRIMAN POSITION,Alexander MERRIMAN LAP TIME,Alexander MERRIMAN ELAPSED TIME,KIM Byeong Jun POSITION,KIM Byeong Jun LAP TIME,KIM Byeong Jun ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Anthony LOBELLO POSITION,Anthony LOBELLO LAP TIME,Anthony LOBELLO ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,CHENG Eric I POSITION,CHENG Eric I LAP TIME,CHENG Eric I ELAPSED TIME
0,8.046,8.046,0,8.261,8.261,0,8.130,8.130,0,8.704,8.704,0,8.179,8.179,0,8.923,8.923
0,11.116,19.162,0,11.176,19.437,0,11.123,19.253,0,11.054,19.758,0,10.816,18.996,0,10.848,19.771
0,10.694,29.856,0,10.471,29.908,0,10.644,29.897,0,10.412,30.170,0,10.679,29.675,0,10.217,29.988
0,10.761,40.616,0,10.804,40.711,0,10.786,40.683,0,10.969,41.139,0,10.763,40.438,0,10.746,40.734
0,11.008,51.624,0,11.047,51.758,0,10.964,51.646,0,10.641,51.780,0,10.996,51.434,0,11.152,51.885
0,10.589,1:02.213,0,10.794,1:02.552,0,10.755,1:02.401,0,11.245,1:03.025,0,10.839,1:02.274,0,10.792,1:02.677
0,10.226,1:12.439,0,10.070,1:12.622,0,10.166,1:12.567,0,9.892,1:12.918,0,10.214,1:12.488,0,10.066,1:12.742
0,9.702,1:22.141,0,9.572,1:22.193,0,9.729,1:22.296,0,9.738,1:22.655,0,9.696,1:22.184,0,10.064,1:22.806
0,25.022,1:47.163,0,9.647,1:31.840,0,22.969,1:45.265,0,9.271,1:31.926,0,21.606,1:43.789,0,10.445,1:33.251
0,14.248,2:01.411,0,9.751,1:41.591,0,15.868,2:01.133,0,9.957,1:41.883,0,12.921,1:56.710,0,10.990,1:44.241
0,12.243,2:13.654,0,10.151,1:51.742,0,14.533,2:15.666,0,10.673,1:52.556,0,11.764,2:08.474,0,12.085,1:56.326
0,11.134,2:24.787,0,10.511,2:02.254,0,13.391,2:29.057,0,11.391,2:03.946,0,11.647,2:20.121,0,12.694,2:09.020
0,10.801,2:35.588,0,10.785,2:13.038,0,12.176,2:41.233,0,9.920,2:13.866,0,11.292,2:31.413,0,12.861,2:21.881
0,,,0,10.966,2:24.005,0,,,0,16.677,2:30.543,0,12.327,2:43.740,0,13.486,2:35.367
