Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Agne SEREIKAITE POSITION,Agne SEREIKAITE LAP TIME,Agne SEREIKAITE ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Neli TSANKOVA POSITION,Neli TSANKOVA LAP TIME,Neli TSANKOVA ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME
2,14.80,14.80,1,14.64,14.64,4,15.09,15.09,5,15.23,15.23,3,14.96,14.96
2,11.30,26.10,1,11.34,25.98,4,11.27,26.36,5,11.25,26.48,3,11.28,26.24
3,10.86,36.96,1,10.82,36.80,2,10.53,36.89,5,10.77,37.25,4,10.87,37.11
5,12.06,49.02,1,9.64,46.44,2,9.73,46.62,4,9.84,47.09,3,9.81,46.92
5,24.90,1:13.92,1,9.53,55.97,2,9.67,56.29,4,9.96,57.05,3,9.59,56.51
5,13.89,1:27.81,1,9.61,1:05.58,2,9.58,1:05.87,4,10.20,1:07.25,3,9.50,1:06.01
5,12.07,1:39.88,1,9.56,1:15.14,2,9.28,1:15.15,4,10.65,1:17.90,3,9.33,1:15.34
5,11.74,1:51.62,2,9.59,1:24.73,1,9.28,1:24.43,4,10.96,1:28.86,3,9.52,1:24.86
5,11.35,2:02.962,2,9.83,1:34.554,1,9.74,1:34.164,4,11.49,1:40.344,3,11.58,1:36.431
