Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Wojciech KAMIENSKI POSITION,Wojciech KAMIENSKI LAP TIME,Wojciech KAMIENSKI ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,Stanislav OMELCHENKO POSITION,Stanislav OMELCHENKO LAP TIME,Stanislav OMELCHENKO ELAPSED TIME,Thibaut MELINE POSITION,Thibaut MELINE LAP TIME,Thibaut MELINE ELAPSED TIME
2,14.24,14.24,1,14.10,14.10,3,14.33,14.33,4,14.52,14.52,5,14.64,14.64
3,10.57,24.81,2,10.59,24.69,1,10.34,24.67,4,10.51,25.03,5,10.47,25.11
3,9.98,34.79,2,9.95,34.64,1,9.87,34.54,5,10.11,35.14,4,9.76,34.87
3,9.86,44.65,2,9.85,44.49,1,9.87,44.41,5,9.73,44.87,4,9.89,44.76
3,9.69,54.34,2,9.70,54.19,1,9.65,54.06,5,9.75,54.62,4,9.64,54.40
3,9.39,1:03.73,2,9.43,1:03.62,1,9.14,1:03.20,5,9.51,1:04.13,4,9.38,1:03.78
2,9.11,1:12.84,4,9.50,1:13.12,1,9.25,1:12.45,5,9.74,1:13.87,3,9.29,1:13.07
2,9.01,1:21.85,4,9.62,1:22.74,1,9.36,1:21.81,5,9.99,1:23.86,3,9.17,1:22.24
1,9.20,1:31.050,4,9.97,1:32.704,2,9.47,1:31.277,5,10.39,1:34.250,3,9.19,1:31.426
