SITNIKOV Pavel POSITION,SITNIKOV Pavel LAP TIME,SITNIKOV Pavel ELAPSED TIME,JIA Haidong POSITION,JIA Haidong LAP TIME,JIA Haidong ELAPSED TIME,LUEDTKE Adrian POSITION,LUEDTKE Adrian LAP TIME,LUEDTKE Adrian ELAPSED TIME,Cyprien VACHERON POSITION,Cyprien VACHERON LAP TIME,Cyprien VACHERON ELAPSED TIME,Mark CHONG POSITION,Mark CHONG LAP TIME,Mark CHONG ELAPSED TIME,Davut TAHTACI POSITION,Davut TAHTACI LAP TIME,Davut TAHTACI ELAPSED TIME
4,10.50,10.50,2,10.40,10.40,5,10.69,10.69,6,10.84,10.84,1,10.19,10.19,3,10.49,10.49
3,14.88,25.38,2,14.89,25.29,5,14.92,25.61,6,14.90,25.74,1,14.89,25.08,4,14.97,25.46
3,14.64,40.02,2,14.63,39.92,5,14.66,40.27,6,14.65,40.39,1,14.57,39.65,4,14.62,40.08
3,13.98,54.00,2,14.01,53.93,5,13.85,54.12,6,13.84,54.23,1,14.11,53.76,4,13.97,54.05
3,12.56,1:06.56,2,12.62,1:06.55,1,12.35,1:06.47,6,12.59,1:06.82,4,12.86,1:06.62,5,12.61,1:06.66
4,10.71,1:17.27,3,10.62,1:17.17,1,10.53,1:17.00,2,10.25,1:17.07,5,10.71,1:17.33,6,10.71,1:17.37
3,9.86,1:27.13,5,10.19,1:27.36,1,9.92,1:26.92,2,10.02,1:27.09,4,9.90,1:27.23,6,10.08,1:27.45
2,9.07,1:36.20,5,9.21,1:36.57,1,9.11,1:36.03,3,9.13,1:36.22,4,9.19,1:36.42,6,9.20,1:36.65
2,8.92,1:45.12,5,8.80,1:45.37,1,9.01,1:45.04,3,9.00,1:45.22,4,8.94,1:45.36,6,8.88,1:45.53
2,8.95,1:54.07,4,8.88,1:54.25,1,8.99,1:54.03,3,8.96,1:54.18,5,9.13,1:54.49,5,8.96,1:54.49
1,9.14,2:03.21,3,9.01,2:03.26,2,9.22,2:03.25,4,9.27,2:03.45,5,9.31,2:03.80,6,9.43,2:03.92
1,9.11,2:12.32,2,9.20,2:12.46,3,9.47,2:12.72,4,9.38,2:12.83,5,9.23,2:13.03,6,9.82,2:13.74
1,9.26,2:21.58,2,9.40,2:21.86,3,9.69,2:22.41,5,9.67,2:22.50,4,9.41,2:22.44,6,10.57,2:24.31
1,9.58,2:31.146,2,9.94,2:31.776,5,10.18,2:32.566,4,9.99,2:32.465,3,9.75,2:32.173,6,11.39,2:35.681
