CHU Sidney K POSITION,CHU Sidney K LAP TIME,CHU Sidney K ELAPSED TIME,Hazim SHAHRUM POSITION,Hazim SHAHRUM LAP TIME,Hazim SHAHRUM ELAPSED TIME,Pietro MARINELLI POSITION,Pietro MARINELLI LAP TIME,Pietro MARINELLI ELAPSED TIME,Bojan BAKA POSITION,Bojan BAKA LAP TIME,Bojan BAKA ELAPSED TIME
3,7.91,7.91,2,7.43,7.43,1,7.35,7.35,4,8.11,8.11
3,9.78,17.69,2,9.83,17.26,1,9.45,16.80,4,10.33,18.44
3,9.26,26.95,2,9.39,26.65,1,9.12,25.92,4,9.89,28.33
2,9.27,36.22,3,9.75,36.40,1,9.33,35.25,4,9.98,38.31
2,9.52,45.716,3,9.60,45.989,1,9.64,44.866,4,35.87,1:14.165
