HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Thibault CROLET POSITION,Thibault CROLET LAP TIME,Thibault CROLET ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME
1,12.60,12.60,2,12.78,12.78,4,13.03,13.03,3,12.90,12.90
1,9.78,22.38,2,9.71,22.49,4,9.70,22.73,3,9.72,22.62
1,9.47,31.85,2,9.44,31.93,4,9.42,32.15,3,9.42,32.04
1,9.41,41.26,2,9.40,41.33,4,9.38,41.53,3,9.42,41.46
1,9.45,50.71,2,9.43,50.76,4,9.35,50.88,3,9.41,50.87
1,9.11,59.82,2,9.12,59.88,4,9.26,1:00.14,3,9.19,1:00.06
1,9.07,1:08.89,2,9.14,1:09.02,4,9.07,1:09.21,3,9.06,1:09.12
1,9.05,1:17.94,2,9.01,1:18.03,4,9.03,1:18.24,3,9.01,1:18.13
2,9.04,1:26.974,1,8.91,1:26.940,4,9.02,1:27.259,3,8.96,1:27.088
