Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME,Maxime FORTIN POSITION,Maxime FORTIN LAP TIME,Maxime FORTIN ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
3,12.85,12.85,1,12.62,12.62,2,12.77,12.77,4,12.96,12.96,5,13.06,13.06
4,9.79,22.64,5,10.14,22.76,2,9.75,22.52,3,9.58,22.54,1,9.42,22.48
3,9.52,32.16,5,9.48,32.24,2,9.53,32.05,4,9.69,32.23,1,9.46,31.94
5,16.14,48.30,3,9.74,41.98,4,10.10,42.15,2,9.49,41.72,1,9.75,41.69
5,13.71,1:02.01,3,9.12,51.10,4,9.47,51.62,1,9.22,50.94,2,9.32,51.01
5,11.27,1:13.28,2,9.51,1:00.61,4,9.19,1:00.81,1,9.57,1:00.51,3,9.67,1:00.68
5,11.26,1:24.54,2,9.27,1:09.88,4,9.31,1:10.12,1,9.35,1:09.86,3,9.29,1:09.97
5,11.27,1:35.81,1,9.34,1:19.22,2,9.18,1:19.30,3,9.45,1:19.31,4,9.52,1:19.49
4,10.71,1:46.513,1,9.17,1:28.386,0,,PEN,2,9.30,1:28.603,3,9.65,1:29.138
