Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,SUNG Ching-Yang POSITION,SUNG Ching-Yang LAP TIME,SUNG Ching-Yang ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME
1,13.38,13.38,2,13.50,13.50,4,13.63,13.63,3,13.52,13.52,5,14.01,14.01
1,9.42,22.81,3,9.47,22.98,4,9.44,23.07,2,9.41,22.93,5,9.11,23.12
1,9.28,32.10,3,9.29,32.28,2,9.13,32.21,4,9.48,32.41,5,9.39,32.51
2,9.18,41.28,3,9.11,41.39,1,9.05,41.26,5,9.38,41.80,4,9.05,41.57
4,9.56,50.85,2,9.32,50.71,1,9.23,50.50,5,9.27,51.08,3,9.25,50.83
4,9.46,1:00.31,3,9.30,1:00.02,1,9.34,59.84,5,9.88,1:00.96,2,9.11,59.94
4,9.92,1:10.24,2,9.22,1:09.24,1,9.23,1:09.08,5,10.28,1:11.24,3,9.40,1:09.35
4,9.84,1:20.08,3,9.50,1:18.75,1,8.93,1:18.01,5,10.40,1:21.64,2,9.36,1:18.71
4,10.35,1:30.426,3,11.54,1:30.289,1,9.74,1:27.747,5,11.30,1:32.933,2,9.68,1:28.385
