Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Robert BECKER POSITION,Robert BECKER LAP TIME,Robert BECKER ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME
4,8.92,8.92,1,8.38,8.38,3,8.89,8.89,2,8.51,8.51,0,,
4,12.76,21.68,2,13.10,21.49,1,12.41,21.30,3,13.01,21.52,0,,
4,11.43,33.12,3,11.45,32.94,1,11.06,32.37,2,11.35,32.88,0,,
4,10.89,44.01,2,10.69,43.63,1,11.20,43.57,3,10.93,43.82,0,,
1,10.42,54.43,3,10.85,54.49,2,10.90,54.47,4,10.81,54.63,0,,
3,10.65,1:05.09,1,10.39,1:04.88,2,10.54,1:05.02,4,10.72,1:05.35,0,,
3,10.37,1:15.46,1,10.42,1:15.31,2,10.33,1:15.36,4,10.27,1:15.63,0,,
3,10.27,1:25.74,1,10.10,1:25.41,2,10.23,1:25.59,4,10.53,1:26.16,0,,
1,9.88,1:35.62,3,10.26,1:35.67,2,10.07,1:35.66,4,9.76,1:35.93,0,,
2,10.04,1:45.66,3,10.03,1:45.70,1,9.86,1:45.52,4,10.08,1:46.01,0,,
2,9.37,1:55.04,1,9.23,1:54.94,3,9.58,1:55.11,4,9.46,1:55.47,0,,
3,9.17,2:04.21,2,9.17,2:04.11,1,8.95,2:04.06,4,10.16,2:05.63,0,,
3,9.35,2:13.57,2,9.30,2:13.42,1,9.32,2:13.38,4,9.53,2:15.17,0,,
3,9.78,2:23.345,1,9.46,2:22.872,2,9.63,2:23.009,4,10.32,2:25.490,0,,DNS
