LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME
1,13.15,13.15,3,13.36,13.36,2,13.26,13.26,4,13.43,13.43
1,10.87,24.02,3,10.84,24.20,2,10.87,24.13,4,10.86,24.29
1,10.55,34.57,2,10.42,34.62,3,10.51,34.64,4,10.50,34.79
2,9.91,44.48,1,9.73,44.35,3,9.94,44.58,4,9.87,44.66
1,9.54,54.02,2,9.76,54.11,3,9.61,54.19,4,9.69,54.35
1,9.14,1:03.16,2,9.14,1:03.25,4,9.25,1:03.44,3,9.05,1:03.40
1,9.10,1:12.26,2,9.12,1:12.37,4,9.20,1:12.64,3,9.10,1:12.50
1,9.25,1:21.51,2,9.14,1:21.51,4,9.16,1:21.80,3,9.16,1:21.66
1,9.44,1:30.942,2,9.51,1:31.018,4,9.59,1:31.381,3,9.46,1:31.111
