Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Travis JAYNER POSITION,Travis JAYNER LAP TIME,Travis JAYNER ELAPSED TIME
3,15.130,15.130,1,14.810,14.810,4,15.300,15.300,2,14.950,14.950
3,11.390,26.520,2,11.560,26.380,4,11.270,26.570,1,11.260,26.210
3,10.690,37.220,2,10.780,37.170,4,10.820,37.390,1,10.810,37.030
2,10.060,47.280,4,10.280,47.450,3,9.990,47.380,1,10.110,47.140
2,9.300,56.590,4,9.450,56.910,1,9.030,56.420,3,9.590,56.740
3,9.410,1:06.010,4,9.210,1:06.130,1,9.310,1:05.740,2,9.240,1:05.980
1,9.210,1:15.220,4,9.460,1:15.590,2,9.530,1:15.280,3,9.420,1:15.400
1,9.390,1:24.620,4,9.630,1:25.230,2,9.480,1:24.760,3,9.470,1:24.880
1,9.470,1:34.090,4,10.040,1:35.280,2,9.470,1:34.240,3,9.700,1:34.590
